player,nationality,position,team,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,team_county
Hamari Traoré,MLI,DF, Real Sociedad,1992,7,6,529,5.9,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.3,7,32,18,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05,es
Gernot Trauner,AUT,DF, Feyenoord,1992,4,3,280,3.1,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,0,16,2,0.00,0.00,0.00,0.00,0.00,0.08,0.06,0.13,0.08,0.13,nl
Christopher Trimmel,AUT,"FW,DF", Union Berlin,1987,3,1,126,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,8,4,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.07,0.03,0.07,de
Kieran Trippier, ENG,DF,g Newcastle Utd,1990,6,6,512,5.7,0,1,1,0,0,0,0,0,0.1,0.1,0.6,0.7,9,42,30,0.00,0.18,0.18,0.00,0.18,0.02,0.11,0.13,0.02,0.13,en
Leandro Trossard,BEL,FW,g Arsenal,1994,7,6,483,5.4,3,1,4,3,0,0,0,0,1.3,1.3,0.8,2.2,11,16,36,0.56,0.19,0.75,0.56,0.75,0.25,0.15,0.40,0.25,0.40,en
Anatolii Trubin,UKR,GK, Benfica,2001,6,6,540,6.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,pt
David Turnbull, SCO,"MF,FW",t Celtic,1999,2,0,35,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,sc
Beñat Turrientes,ESP,MF, Real Sociedad,2002,6,1,192,2.1,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.8,4,7,11,0.00,0.00,0.00,0.00,0.00,0.25,0.11,0.36,0.25,0.36,es
Ayase Ueda,JPN,FW, Feyenoord,1998,5,1,151,1.7,0,0,0,0,0,0,0,0,1.5,1.5,0.0,1.5,5,2,12,0.00,0.00,0.00,0.00,0.00,0.89,0.01,0.90,0.89,0.90,nl
Manuel Ugarte Ribeiro,URU,MF, Paris S-G,2001,7,5,380,4.2,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,4,14,2,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,fr
Filip Ugrinic,SUI,MF, Young Boys,1999,6,6,516,5.7,1,1,2,1,0,0,0,0,0.5,0.5,0.6,1.2,11,15,18,0.17,0.17,0.35,0.17,0.35,0.09,0.11,0.20,0.09,0.20,ch
Andreas Ulmer,AUT,DF, RB Salzburg,1985,3,3,218,2.4,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,3,4,7,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.09,0.03,0.09,at
Sven Ulreich,GER,GK, Bayern Munich,1988,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,de
Dayot Upamecano,FRA,DF, Bayern Munich,1998,6,6,497,5.5,0,0,0,0,0,0,0,1,0.3,0.3,0.0,0.3,6,41,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.06,0.05,0.06,de
Anthony Valencia,ECU,"MF,FW", Antwerp,2003,3,0,38,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,be
Federico Valverde,URU,MF, Real Madrid,1998,8,7,597,6.6,0,0,0,0,0,0,0,0,1.0,1.0,0.3,1.2,21,46,24,0.00,0.00,0.00,0.00,0.00,0.15,0.04,0.18,0.15,0.18,es
Zeno Van den Bosch,BEL,DF, Antwerp,2003,3,1,94,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,be
Raphaël Varane,FRA,DF,g Manchester Utd,1993,4,3,334,3.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,15,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,en
Alan Varela,ARG,MF, Porto,2001,8,8,705,7.8,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,1,37,4,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,pt
Denis Vavro,SVK,DF, FC Copenhagen,1996,8,8,707,7.9,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,2,22,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,dk
Lucas Vázquez,ESP,DF, Real Madrid,1991,6,3,266,3.0,0,1,1,0,0,0,1,0,0.1,0.1,1.3,1.4,10,10,39,0.00,0.34,0.34,0.00,0.34,0.03,0.45,0.48,0.03,0.48,es
Matías Vecino,URU,MF, Lazio,1991,6,6,469,5.2,1,0,1,1,0,0,3,0,0.6,0.6,0.1,0.7,4,23,6,0.19,0.00,0.19,0.19,0.19,0.12,0.02,0.13,0.12,0.13,it
Joey Veerman,NED,MF, PSV Eindhoven,1998,7,7,576,6.4,0,0,0,0,0,0,1,0,0.4,0.4,1.0,1.3,8,63,9,0.00,0.00,0.00,0.00,0.00,0.06,0.15,0.21,0.06,0.21,nl
Arthur Vermeeren,BEL,MF, Antwerp,2005,6,6,540,6.0,1,2,3,1,0,0,1,0,0.5,0.5,0.6,1.2,8,25,8,0.17,0.33,0.50,0.17,0.50,0.09,0.10,0.19,0.09,0.19,be
Yorbe Vertessen,BEL,FW, PSV Eindhoven,2001,5,1,161,1.8,1,1,2,1,0,0,0,0,0.4,0.4,0.1,0.5,9,2,22,0.56,0.56,1.12,0.56,1.12,0.23,0.07,0.30,0.23,0.30,nl
Fabio Vieira,POR,FW,g Arsenal,2000,3,0,89,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,5,13,0.00,0.00,0.00,0.00,0.00,0.02,0.10,0.12,0.02,0.12,en
Vitinha,POR,MF, Paris S-G,2000,8,6,554,6.2,0,1,1,0,0,0,1,0,0.7,0.7,1.0,1.7,12,43,19,0.00,0.16,0.16,0.00,0.16,0.12,0.16,0.28,0.12,0.28,fr
Kevin Volland,GER,"FW,MF", Union Berlin,1992,5,2,235,2.6,1,0,1,1,0,0,0,0,0.7,0.7,0.4,1.1,1,8,15,0.38,0.00,0.38,0.38,0.38,0.26,0.17,0.43,0.26,0.43,de
Stefan de Vrij,NED,DF, Inter,1992,6,5,496,5.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,6,14,2,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,it
