player,nationality,position,team,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,team_county
Danilo Cataldi,ITA,MF, Lazio,1994,5,1,160,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,0,4,3,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,it
Dani Ceballos,ESP,MF, Real Madrid,1996,3,2,152,1.7,1,0,1,1,0,0,0,0,0.2,0.2,0.2,0.4,4,10,6,0.59,0.00,0.59,0.59,0.59,0.11,0.12,0.23,0.11,0.23,es
Miguel Chaiwa,ZAM,MF, Young Boys,2004,3,0,60,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,ch
Chiquinho,POR,MF, Benfica,1995,5,0,58,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,6,0,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,pt
Andreas Christensen,DEN,"DF,MF", Barcelona,1996,6,5,424,4.7,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.3,7,22,2,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.06,0.03,0.06,es
Samuel Chukwueze,NGA,FW, Milan,1999,4,2,165,1.8,2,0,2,2,0,0,0,0,0.9,0.9,0.7,1.6,9,6,18,1.09,0.00,1.09,1.09,1.09,0.51,0.37,0.88,0.51,0.88,it
Viktor Claesson,SWE,"FW,MF", FC Copenhagen,1992,7,6,479,5.3,0,0,0,0,0,0,0,0,0.8,0.8,0.4,1.2,5,12,17,0.00,0.00,0.00,0.00,0.00,0.14,0.07,0.22,0.14,0.22,dk
William Clem,DEN,MF, FC Copenhagen,2004,1,1,68,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,dk
Ebrima Colley,GAM,"MF,FW", Young Boys,2000,2,1,126,1.4,1,0,1,1,0,0,1,0,0.8,0.8,0.0,0.8,4,3,7,0.71,0.00,0.71,0.71,0.71,0.57,0.00,0.57,0.57,0.57,ch
Kingsley Coman,FRA,FW, Bayern Munich,1996,6,5,421,4.7,2,0,2,2,0,0,0,0,1.3,1.3,0.6,1.9,27,21,71,0.43,0.00,0.43,0.43,0.43,0.28,0.12,0.40,0.28,0.40,de
Francisco Conceição,POR,"FW,MF", Porto,2002,8,2,241,2.7,1,1,2,1,0,0,2,0,0.9,0.9,0.5,1.4,10,9,25,0.37,0.37,0.75,0.37,0.75,0.34,0.17,0.52,0.34,0.52,pt
Kobe Corbanie,BEL,"DF,FW", Antwerp,2005,2,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,be
Andreas Cornelius,DEN,"FW,MF", FC Copenhagen,1993,3,0,82,0.9,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,1,2,3,0.00,0.00,0.00,0.00,0.00,0.10,0.15,0.25,0.10,0.25,dk
Ángel Correa,ARG,"FW,MF", Atlético Madrid,1995,8,2,268,3.0,0,0,0,0,0,0,1,0,0.8,0.8,0.6,1.4,5,17,29,0.00,0.00,0.00,0.00,0.00,0.29,0.24,0.54,0.29,0.54,es
David Pereira da Costa,POR,"MF,FW", Lens,2001,3,1,114,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,7,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,fr
Diogo Costa,POR,GK, Porto,1999,8,8,750,8.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,pt
Soumaïla Coulibaly,FRA,DF, Antwerp,2003,6,6,540,6.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,11,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,be
Juan Cuadrado,COL,"DF,FW", Inter,1988,2,1,113,1.3,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2,4,9,0.00,0.00,0.00,0.00,0.00,0.02,0.08,0.10,0.02,0.10,it
Pau Cubarsí,ESP,DF, Barcelona,2007,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.3,0,2,0,0.00,0.00,0.00,0.00,0.00,0.04,0.21,0.25,0.04,0.25,es
Diogo Dalot,POR,DF,g Manchester Utd,1999,6,5,463,5.1,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,16,8,25,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.02,0.06,en
Kevin Danso,AUT,DF, Lens,1998,6,6,540,6.0,0,0,0,0,0,0,2,0,0.6,0.6,0.0,0.6,4,15,2,0.00,0.00,0.00,0.00,0.00,0.09,0.01,0.10,0.09,0.10,fr
Matteo Darmian,ITA,"DF,FW", Inter,1989,7,4,407,4.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,5,12,26,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,it
David Datro Fofana,CIV,FW, Union Berlin,2002,4,2,199,2.2,1,0,1,1,0,0,0,0,0.9,0.9,0.3,1.2,3,6,14,0.45,0.00,0.45,0.45,0.45,0.41,0.13,0.53,0.41,0.53,de
Alphonso Davies,CAN,DF, Bayern Munich,2000,7,6,548,6.1,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.3,17,22,29,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,de
Kevin De Bruyne,BEL,MF,g Manchester City,1991,1,1,90,1.0,1,2,3,1,0,0,0,0,0.6,0.6,0.4,0.9,5,6,17,1.00,2.00,3.00,1.00,3.00,0.55,0.40,0.95,0.55,0.95,en
Ritchie De Laet,BEL,DF, Antwerp,1988,4,3,223,2.5,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,4,12,8,0.00,0.00,0.00,0.00,0.00,0.02,0.11,0.13,0.02,0.13,be
Rodrigo De Paul,ARG,MF, Atlético Madrid,1994,6,6,449,5.0,0,0,0,0,0,0,2,1,0.3,0.3,0.7,0.9,10,33,17,0.00,0.00,0.00,0.00,0.00,0.05,0.13,0.19,0.05,0.19,es
Amar Dedić,BIH,DF, RB Salzburg,2002,6,6,540,6.0,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,16,18,27,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.05,0.04,0.05,at
Miloš Degenek,AUS,FW, Red Star,1994,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,rs
Ousmane Dembélé,FRA,"FW,MF", Paris S-G,1997,7,7,594,6.6,0,1,1,0,0,0,4,0,1.6,1.6,1.4,3.0,59,38,95,0.00,0.15,0.15,0.00,0.15,0.25,0.21,0.46,0.25,0.46,fr
Kerem Demirbay,GER,MF, Galatasaray,1993,2,1,61,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,tr
Thomas van den Belt,NED,MF, Feyenoord,2001,1,0,36,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,1,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.11,0.11,0.11,nl
Sergiño Dest,USA,DF, PSV Eindhoven,2000,8,7,647,7.2,0,1,1,0,0,0,0,0,0.2,0.2,0.6,0.7,27,42,27,0.00,0.14,0.14,0.00,0.14,0.02,0.08,0.10,0.02,0.10,nl
Giovanni Di Lorenzo,ITA,DF, Napoli,1993,8,8,720,8.0,1,1,2,1,0,0,0,0,0.4,0.4,1.7,2.1,11,42,42,0.12,0.12,0.25,0.12,0.25,0.05,0.22,0.27,0.05,0.27,it
Ángel Di María,ARG,FW, Benfica,1988,5,5,412,4.6,1,1,2,1,0,0,0,0,0.3,0.3,1.8,2.2,19,27,33,0.22,0.22,0.44,0.22,0.44,0.08,0.40,0.48,0.08,0.48,pt
Rúben Dias,POR,DF,g Manchester City,1997,7,7,555,6.2,0,0,0,0,0,0,2,0,0.7,0.7,0.0,0.7,11,42,2,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.11,0.11,0.11,en
Brahim Díaz,MAR,"MF,FW", Real Madrid,1999,5,3,242,2.7,2,1,3,2,0,0,0,0,1.3,1.3,1.4,2.7,14,16,22,0.74,0.37,1.12,0.74,1.12,0.50,0.51,1.00,0.50,1.00,es
Eric Dier, ENG,DF, Bayern Munich,1994,1,1,90,1.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,1,0,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.18,0.18,0.18,de
Kevin Diks,NED,DF, FC Copenhagen,1996,8,8,707,7.9,0,0,0,0,0,0,2,0,0.0,0.0,0.3,0.3,6,19,6,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.04,0.01,0.04,dk
Javairô Dilrosun,NED,DF, Feyenoord,1998,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,1,0,2,0.00,0.00,0.00,0.00,0.00,0.19,0.35,0.55,0.19,0.55,nl
Federico Dimarco,ITA,DF, Inter,1997,7,4,364,4.0,1,0,1,1,0,0,0,0,0.5,0.5,0.9,1.4,14,12,33,0.25,0.00,0.25,0.25,0.25,0.13,0.23,0.35,0.13,0.35,it
Andy Diouf,FRA,MF, Lens,2003,2,0,38,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,1,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.94,0.94,0.00,0.94,fr
Novatus Dismas,TAN,DF, Shakhtar,2002,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,ua
Álvaro djaló,ESP,FW, Braga,1999,5,5,405,4.5,2,0,2,2,0,1,1,0,1.8,1.1,0.7,1.7,14,15,36,0.44,0.00,0.44,0.44,0.44,0.41,0.15,0.56,0.23,0.38,pt
Nasser Djiga,BFA,DF, Red Star,2002,6,6,540,6.0,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,2,7,1,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,rs
Marko Dmitrović,SRB,GK, Sevilla,1992,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,es
Danilho Doekhi,NED,DF, Union Berlin,1998,3,3,259,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,de
Jeremy Doku,BEL,FW,g Manchester City,2002,6,1,255,2.8,1,1,2,1,0,0,0,0,1.2,1.2,1.1,2.2,29,9,58,0.35,0.35,0.71,0.35,0.71,0.41,0.38,0.78,0.41,0.78,en
Gianluigi Donnarumma,ITA,GK, Paris S-G,1999,8,8,720,8.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,fr
Nene Dorgeles,MLI,"FW,MF", RB Salzburg,2002,4,2,138,1.5,0,0,0,0,0,0,0,0,1.1,1.1,0.0,1.1,4,5,16,0.00,0.00,0.00,0.00,0.00,0.72,0.01,0.73,0.72,0.73,at
Gabriel Dos Santos,BRA,DF,g Arsenal,1997,8,8,750,8.3,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,1,19,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,en
Aleksandar Dragović,AUT,DF, Red Star,1991,6,6,540,6.0,0,0,0,0,0,0,1,0,0.6,0.6,0.1,0.7,3,16,0,0.00,0.00,0.00,0.00,0.00,0.10,0.01,0.11,0.10,0.11,rs
Martin Dúbravka,SVK,GK,g Newcastle Utd,1989,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,en
Denzel Dumfries,NED,DF, Inter,1996,5,4,320,3.6,0,1,1,0,0,0,1,0,0.9,0.9,0.9,1.8,10,4,22,0.00,0.28,0.28,0.00,0.28,0.25,0.24,0.50,0.25,0.50,it
Ederson,BRA,GK,g Manchester City,1993,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,en
Jorge Eduardo Sánchez,MEX,DF, Porto,1997,6,1,185,2.1,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.5,4,10,13,0.00,0.00,0.00,0.00,0.00,0.05,0.26,0.30,0.05,0.30,pt
Eguinaldo,BRA,"MF,FW", Shakhtar,2004,3,0,16,0.2,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,1,0,3,5.63,0.00,5.63,5.63,5.63,0.69,0.00,0.69,0.69,0.69,ua
Chidera Ejuke,NGA,FW, Antwerp,1998,4,1,152,1.7,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,5,16,11,0.00,0.00,0.00,0.00,0.00,0.14,0.09,0.23,0.14,0.23,be
Jurgen Ekkelenkamp,NED,MF, Antwerp,2000,4,4,274,3.0,0,0,0,0,0,0,0,1,0.2,0.2,0.2,0.3,3,5,8,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.11,0.05,0.11,be
Meschak Elia,COD,"FW,MF", Young Boys,1997,6,6,498,5.5,2,0,2,2,0,0,0,0,0.7,0.7,0.6,1.3,15,3,41,0.36,0.00,0.36,0.36,0.36,0.13,0.10,0.24,0.13,0.24,ch
Elif Elmas,MKD,MF, RB Leipzig,1999,2,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,de
Elif Elmas,MKD,"FW,MF", Napoli,1999,5,0,148,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,5,4,6,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,it
Mohamed Elneny,EGY,MF,g Arsenal,1992,2,1,62,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,en
Aritz Elustondo,ESP,DF, Real Sociedad,1994,5,2,172,1.9,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,2,7,3,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,es
Mohamed Elyounoussi,NOR,"FW,MF", FC Copenhagen,1994,8,8,684,7.6,3,0,3,3,0,0,0,0,2.1,2.1,1.4,3.5,18,18,29,0.39,0.00,0.39,0.39,0.39,0.28,0.18,0.46,0.28,0.46,dk
Youssef En-Nesyri,MAR,FW, Sevilla,1997,6,6,512,5.7,2,0,2,2,0,0,0,0,1.8,1.8,0.0,1.8,3,4,15,0.35,0.00,0.35,0.35,0.35,0.32,0.00,0.32,0.32,0.32,es
Luis Enrique Palma,HON,FW,t Celtic,2000,5,4,266,3.0,2,0,2,1,1,1,3,0,1.1,0.3,0.0,0.3,8,14,38,0.68,0.00,0.68,0.34,0.34,0.36,0.00,0.36,0.09,0.10,sc
Christian Eriksen,DEN,MF,g Manchester Utd,1992,4,2,203,2.3,0,1,1,0,0,0,0,0,0.4,0.4,0.5,0.8,1,22,1,0.00,0.44,0.44,0.00,0.44,0.16,0.21,0.37,0.16,0.37,en
Stephen Eustáquio,CAN,MF, Porto,1996,8,6,532,5.9,1,0,1,1,0,0,1,0,0.5,0.5,0.3,0.9,2,23,10,0.17,0.00,0.17,0.17,0.17,0.09,0.06,0.15,0.09,0.15,pt
Evanilson,BRA,FW, Porto,1999,7,5,488,5.4,4,1,5,3,1,1,0,0,1.7,1.0,1.2,2.2,10,10,28,0.74,0.18,0.92,0.55,0.74,0.32,0.23,0.55,0.18,0.40,pt
Jonny Evans, NIR,DF,g Manchester Utd,1988,2,1,66,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,en
Rasmus Falk,DEN,MF, FC Copenhagen,1992,7,7,630,7.0,0,1,1,0,0,0,2,0,0.1,0.1,0.6,0.7,6,30,3,0.00,0.14,0.14,0.00,0.14,0.01,0.09,0.10,0.01,0.10,dk
João Félix,POR,FW, Barcelona,1999,7,4,330,3.7,3,1,4,3,0,0,2,0,1.6,1.6,0.5,2.0,12,12,61,0.82,0.27,1.09,0.82,1.09,0.43,0.13,0.55,0.43,0.55,es
Bruno Fernandes,POR,"MF,FW",g Manchester Utd,1994,6,6,540,6.0,2,2,4,1,1,1,2,0,1.6,0.9,2.2,3.0,10,34,25,0.33,0.33,0.67,0.17,0.50,0.27,0.36,0.64,0.14,0.51,en
Roger Fernandes,GNB,FW, Braga,2005,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.21,0.21,0.21,pt
Carlos Fernández,ESP,FW, Real Sociedad,1996,4,0,68,0.8,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,0,4,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.18,0.18,0.18,es
Fernando,BRA,FW, RB Salzburg,1999,1,0,36,0.4,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.3,3,1,7,0.00,0.00,0.00,0.00,0.00,0.65,0.16,0.81,0.65,0.81,at
Fernando,BRA,MF, Sevilla,1987,4,4,328,3.6,0,0,0,0,0,0,0,1,0.0,0.0,0.1,0.1,1,8,3,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,es
Alessandro Florenzi,ITA,DF, Milan,1991,4,1,158,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.3,7,10,3,0.00,0.00,0.00,0.00,0.00,0.02,0.14,0.16,0.02,0.16,it
Phil Foden, ENG,"FW,MF",g Manchester City,2000,6,5,475,5.3,4,4,8,4,0,0,0,0,2.6,2.6,2.0,4.6,16,45,64,0.76,0.76,1.52,0.76,1.52,0.49,0.38,0.87,0.49,0.87,en
Diogo Fonseca,POR,DF, Braga,2002,1,0,18,0.2,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,1,0,6,0.00,0.00,0.00,0.00,0.00,1.76,0.00,1.76,1.76,1.76,pt
José Fonte,POR,DF, Braga,1983,4,4,360,4.0,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,0,9,1,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,pt
James Forrest, SCO,FW,t Celtic,1991,3,1,94,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,5,12,0.00,0.00,0.00,0.00,0.00,0.13,0.09,0.22,0.13,0.22,sc
Emil Forsberg,SWE,"MF,FW", RB Leipzig,1991,6,6,406,4.5,1,0,1,1,0,0,1,0,0.8,0.8,0.4,1.2,6,14,15,0.22,0.00,0.22,0.22,0.22,0.18,0.09,0.27,0.18,0.27,de
Amankwah Forson,GHA,"MF,FW", RB Salzburg,2002,4,0,68,0.8,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,4,8,3,0.00,0.00,0.00,0.00,0.00,0.21,0.10,0.32,0.21,0.32,at
Héctor Fort,ESP,DF, Barcelona,2006,1,1,59,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,es
Mitchel Frame, SCO,FW,t Celtic,2006,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,sc
André Franco,POR,"MF,FW", Porto,1998,4,3,236,2.6,0,0,0,0,0,0,0,0,0.7,0.7,0.5,1.2,4,13,8,0.00,0.00,0.00,0.00,0.00,0.29,0.17,0.46,0.29,0.46,pt
Przemysław Frankowski,POL,DF, Lens,1995,6,6,527,5.9,1,2,3,0,1,1,0,0,0.8,0.0,1.1,1.1,18,24,41,0.17,0.34,0.51,0.00,0.34,0.13,0.18,0.32,0.00,0.18,fr
Davide Frattesi,ITA,MF, Inter,1999,7,4,452,5.0,1,2,3,1,0,0,2,0,0.9,0.9,1.6,2.5,11,19,21,0.20,0.40,0.60,0.20,0.60,0.20,0.33,0.53,0.20,0.53,it
Victor Froholdt,DEN,MF, FC Copenhagen,2006,1,1,57,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dk
Angelo Fulgini,FRA,MF, Lens,1996,6,3,290,3.2,2,0,2,2,0,0,2,0,1.4,1.4,0.7,2.1,8,9,20,0.62,0.00,0.62,0.62,0.62,0.44,0.21,0.65,0.44,0.65,fr
Niclas Füllkrug,GER,FW, Dortmund,1993,8,7,618,6.9,1,2,3,1,0,0,0,0,2.4,2.4,1.2,3.6,6,22,26,0.15,0.29,0.44,0.15,0.44,0.35,0.17,0.53,0.35,0.53,de
Kyogo Furuhashi,JPN,FW,t Celtic,1995,6,6,447,5.0,2,0,2,2,0,0,0,0,1.5,1.5,0.1,1.6,5,6,17,0.40,0.00,0.40,0.40,0.40,0.30,0.02,0.32,0.30,0.32,sc
Gianluca Gaetano,ITA,MF, Napoli,2000,1,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.10,0.07,0.17,0.10,0.17,it
Javi Galán,ESP,DF, Atlético Madrid,1994,2,1,74,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,3,0,8,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.19,0.00,0.19,es
Javi Galán,ESP,DF, Real Sociedad,1994,2,2,177,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,4,5,3,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,es
Galeno,BRA,"MF,FW", Porto,1997,7,7,649,7.2,5,4,9,5,0,0,0,0,2.9,2.9,1.0,3.9,25,15,53,0.69,0.55,1.25,0.69,1.25,0.42,0.15,0.57,0.42,0.57,pt
Silvère Ganvoula M'Boussy,CGO,FW, Young Boys,1996,6,0,115,1.3,0,0,0,0,0,0,0,0,0.8,0.8,0.1,0.9,3,3,11,0.00,0.00,0.00,0.00,0.00,0.62,0.05,0.67,0.62,0.67,ch
Fran Garcia,ESP,DF, Real Madrid,1999,4,2,189,2.1,0,1,1,0,0,0,0,0,0.0,0.0,0.3,0.3,16,10,24,0.00,0.48,0.48,0.00,0.48,0.00,0.16,0.16,0.00,0.16,es
Ulisses Garcia,SUI,DF, Young Boys,1996,6,6,502,5.6,0,0,0,0,0,0,1,0,0.4,0.4,1.0,1.4,19,28,19,0.00,0.00,0.00,0.00,0.00,0.07,0.18,0.25,0.07,0.25,ch
Alejandro Garnacho,ARG,"FW,MF",g Manchester Utd,2004,6,3,301,3.3,1,0,1,1,0,0,0,0,1.3,1.3,0.2,1.5,13,2,24,0.30,0.00,0.30,0.30,0.30,0.39,0.05,0.44,0.39,0.44,en
Gavi,ESP,MF, Barcelona,2004,3,3,226,2.5,1,0,1,1,0,0,3,1,0.5,0.5,0.1,0.5,6,13,8,0.40,0.00,0.40,0.40,0.40,0.18,0.03,0.21,0.18,0.21,es
Lutsharel Geertruida,NED,DF, Feyenoord,2000,6,6,540,6.0,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,8,48,16,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,nl
Mario Gila,ESP,DF, Lazio,2000,4,4,350,3.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,8,0,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,it
Santiago Giménez,MEX,FW, Feyenoord,2001,4,4,347,3.9,2,1,3,2,0,0,1,0,2.3,2.3,0.4,2.7,5,5,29,0.52,0.26,0.78,0.52,0.78,0.59,0.09,0.69,0.59,0.69,nl
Olivier Giroud,FRA,FW, Milan,1986,6,6,510,5.7,1,2,3,1,0,1,1,0,2.6,1.8,0.5,2.3,2,4,16,0.18,0.35,0.53,0.18,0.53,0.46,0.10,0.55,0.32,0.41,it
Omri Glazer,ISR,GK, Red Star,1996,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,rs
Oscar Gloukh,ISR,"MF,FW", RB Salzburg,2004,6,6,476,5.3,2,1,3,2,0,0,1,0,1.2,1.2,0.7,2.0,16,25,26,0.38,0.19,0.57,0.38,0.57,0.24,0.14,0.37,0.24,0.37,at
Serge Gnabry,GER,FW, Bayern Munich,1995,4,1,94,1.0,1,0,1,1,0,0,0,0,0.2,0.2,0.2,0.4,0,2,14,0.96,0.00,0.96,0.96,0.96,0.20,0.17,0.37,0.20,0.37,de
Giorgi Gocholeishvili,GEO,DF, Shakhtar,2001,4,3,285,3.2,0,1,1,0,0,0,1,0,0.2,0.2,0.1,0.3,5,6,6,0.00,0.32,0.32,0.00,0.32,0.06,0.04,0.11,0.06,0.11,ua
Sergio Gómez,ESP,"DF,FW",g Manchester City,2000,5,2,194,2.2,0,0,0,0,0,0,0,0,0.2,0.2,0.9,1.1,10,8,16,0.00,0.00,0.00,0.00,0.00,0.11,0.42,0.53,0.11,0.53,en
Victor Gomez,ESP,DF, Braga,2000,4,4,312,3.5,0,0,0,0,0,0,1,0,0.0,0.0,0.5,0.5,8,17,33,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.00,0.14,pt
Diogo Gonçalves,POR,MF, FC Copenhagen,1997,7,7,530,5.9,2,1,3,1,1,1,1,0,1.9,1.1,0.5,1.7,14,18,11,0.34,0.17,0.51,0.17,0.34,0.33,0.09,0.42,0.19,0.29,dk
Nicolás González,ESP,MF, Porto,2002,6,2,222,2.5,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,1,7,0,0.00,0.00,0.00,0.00,0.00,0.05,0.12,0.16,0.05,0.16,pt
Anthony Gordon, ENG,FW,g Newcastle Utd,2001,6,5,437,4.9,0,0,0,0,0,0,1,0,0.6,0.6,0.4,1.0,11,13,33,0.00,0.00,0.00,0.00,0.00,0.12,0.08,0.20,0.12,0.20,en
Leon Goretzka,GER,"MF,DF", Bayern Munich,1995,7,6,536,6.0,0,0,0,0,0,0,2,0,0.3,0.3,1.3,1.7,15,30,4,0.00,0.00,0.00,0.00,0.00,0.06,0.22,0.28,0.06,0.28,de
